"Source:","C:\Users\David\Desktop\ILLT_29-07-23\PCB\MB-V2\MB-V2.kicad_sch"
"Date:","30.04.2024 22:25:48"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C4","22uF","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","~",""
"2","3","C2, C3, C5","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"3","1","J1","EXT_PRG","Connector:Conn_01x06_Socket","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~",""
"4","1","J3","DC_JACK","Connector:Conn_01x02_Socket","Connector_BarrelJack:BarrelJack_Horizontal","~",""
"5","1","J4","RGB_OUTPUT","Connector:Conn_01x06_Socket","Connector_PinHeader_2.00mm:PinHeader_1x06_P2.00mm_Vertical","~",""
"6","1","Q1","ZXTN2031F",":S8050_2","Package_TO_SOT_SMD:SOT-23","http://www.unisonic.com.tw/datasheet/S8050.pdf",""
"7","1","Q2","ZXTN2031F","Transistor_BJT:S8050","Package_TO_SOT_SMD:SOT-23","http://www.unisonic.com.tw/datasheet/S8050.pdf",""
"8","1","Q3","ZXTN2031F",":S8050_1","Package_TO_SOT_SMD:SOT-23","http://www.unisonic.com.tw/datasheet/S8050.pdf",""
"9","5","R1, R2, R3, R4, R5","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"10","3","R6, R7, R8","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"11","1","U1","ESP-12F","RF_Module:ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf",""
"12","1","U2","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf",""
